"","Make","Fuel","EngineCylinders","AverageHighwayMPG","AverageCityMPG","id","avgMPG"
"125","Porsche","Gasoline",4,27,21,125,24
"126","Porsche","Gasoline",6,26,19,126,22.5
"127","Porsche","Gasoline",8,21,14,127,17.5
"128","Ram","Gasoline",8,21,14,128,17.5
"129","Ram","Gasoline",4,28,21,129,24.5
"130","Ram","Gasoline",6,24,17,130,20.5
"131","Rolls-Royce","Gasoline",12,19,12,131,15.5
"132","Roush Performance","Gasoline",8,23,14,132,18.5
"133","smart","Gasoline",3,39,32,133,35.5
"134","Subaru","Gasoline",4,27,21,134,24
"135","Subaru","Gasoline",4,33,25,135,29
"136","Subaru","Gasoline",6,28,20,136,24
"137","Tesla","Electricity",0,98,92,137,95
"138","Toyota","Gasoline",4,30,23,138,26.5
"139","Toyota","Gasoline",4,35,32,139,33.5
"140","Toyota","Gasoline",6,25,20,140,22.5
"141","Toyota","Gasoline",8,18,13,141,15.5
"142","Volkswagen","Gasoline",4,28,21,142,24.5
"143","Volkswagen","Gasoline",4,33,24,143,28.5
"144","Volkswagen","Gasoline",6,25,18,144,21.5
"145","Volvo","Gasoline",4,29,22,145,25.5
"146","Volvo","Gasoline",4,32,23,146,27.5
